case_id,regime,decision_id,true_predecessor,reconstructed_status,reconstructed_predecessor,classification,is_ambiguous_by_construction
C3-1,T1,D2,D1,UNIQUE,D1,CORRECT_UNIQUE,False
C3-1,T2,D2,D1,UNIQUE,D1,CORRECT_UNIQUE,False
C3-2,T1,D3,D1,AMBIGUOUS,,AMBIGUOUS,True
C3-2,T2,D3,D1,UNIQUE,D1,CORRECT_UNIQUE,True
C3-3,T1,D3,D2,AMBIGUOUS,,AMBIGUOUS,True
C3-3,T2,D3,D2,UNIQUE,D2,CORRECT_UNIQUE,True
C3-4,T1,D3,D1,AMBIGUOUS,,AMBIGUOUS,True
C3-4,T2,D3,D1,UNIQUE,D1,CORRECT_UNIQUE,True
C3-5,T1,D3,D2,AMBIGUOUS,,AMBIGUOUS,True
C3-5,T2,D3,D2,UNIQUE,D2,CORRECT_UNIQUE,True
C3-6,T1,D3,D1,UNIQUE,D1,CORRECT_UNIQUE,False
C3-6,T2,D3,D1,UNIQUE,D1,CORRECT_UNIQUE,False
